index,pdfsize,metadata size,xref Length,obj,endobj,JS,Javascript,Class
2126,4,256,16,9,9,2,3,Malicious
4270,81,262,21,6,6,0,0,Benign
4894,37,298,12,12,12,0,0,Benign
6691,354,349,60,42,42,0,0,Benign
1320,1,180,111612,68,68,5,6,Malicious
8171,36,319,30,8,8,1,1,Malicious
2835,41,180,11,5,5,1,1,Malicious
5140,37,613,306,183,183,0,0,Benign
7657,139,273,236,124,124,0,0,Benign
7244,24,298,12,6,6,0,0,Benign
7982,44,229,72,21,21,0,0,Benign
4694,32,298,12,11,11,0,0,Benign
5171,85,272,21,12,12,0,0,Benign
5926,70,389,283,53,53,0,0,Benign
6868,143,295,269,60,60,0,0,Benign
2177,7,180,17,8,8,1,1,Malicious
4653,49,442,184,31,31,0,0,Benign
5963,61,366,83,107,107,2,3,Benign
4414,68,262,21,9,9,0,0,Benign
4157,344,382,248,187,187,0,0,Benign
8066,25,285,49,27,27,0,0,Benign
1952,37,180,11,9,9,2,3,Malicious
927,16,180,10,17,17,1,2,Malicious
3378,9,180,9,18,18,0,0,Malicious
6699,131,210,19,18,18,0,0,Benign
3966,54,358,38,37,37,0,0,Benign
5824,57,366,71,35,35,0,0,Benign
3539,9,180,9,0,1,0,0,Malicious
1075,23,277,30,14,14,2,3,Malicious
222,355,226,11,13,13,2,3,Malicious
1858,240,296,95,8,8,1,1,Malicious
7204,28,298,20,22,22,0,0,Benign
2897,511,281,107,9,9,1,1,Malicious
2570,16,180,10,39,39,0,0,Malicious
2083,9,226,32,9,9,1,2,Malicious
1545,2048,250,15,4,4,1,1,Malicious
6247,51,364,160,199,199,1,2,Benign
4619,78,262,21,199,199,0,0,Benign
2063,44,180,12,9,9,1,2,Malicious
5633,74,481,775,77,77,0,0,Benign
5192,83,283,32,11,11,0,0,Benign
4434,82,265,21,6,6,0,0,Benign
3501,8,256,22,12,12,1,2,Malicious
4366,37,298,12,6,6,0,0,Benign
1163,2,180,9,11,11,1,2,Malicious
1009,83,328,19,19,19,0,0,Malicious
6043,99,429,623,94,94,0,0,Benign
3381,7,180,11,15,15,1,1,Malicious
5285,404,333,96,130,130,0,0,Benign
7607,28,298,12,174,174,0,0,Benign
4570,98,283,45,36,36,0,0,Benign
5123,82,283,26,6,6,0,0,Benign
4840,79,283,25,11,11,0,0,Benign
5321,33,298,12,11,11,0,0,Benign
5174,86,283,34,6,6,0,0,Benign
4174,31,334,39,38,38,0,0,Benign
1919,2,180,8,89,89,4,5,Malicious
6137,57,384,188,168,168,0,0,Benign
1430,11,180,46,8,8,1,1,Malicious
6932,369,357,547,400,400,0,0,Benign
540,8,180,10,28,28,1,2,Malicious
3692,2,180,11,10,10,2,3,Malicious
1385,14,256,16,8,7,1,1,Malicious
7159,101,273,94,56,56,0,0,Benign
1057,232,180,6,13,13,2,3,Malicious
2748,8,225,12,8,8,1,1,Malicious
1803,10,293,10,8,8,1,1,Malicious
6998,100,422,1242,290,290,0,0,Benign
7838,36,229,41,31,31,0,0,Benign
3290,6,180,9,19,19,0,0,Malicious
4523,80,265,21,30,30,0,0,Benign
586,8,180,11,28,28,1,2,Malicious
318,10,180,70,19,19,0,0,Malicious
5316,82,262,21,35,35,0,0,Benign
2407,9,180,9,52,52,4,5,Malicious
7309,28,298,12,9,9,0,0,Benign
4652,95,450,84,6,6,0,0,Benign
6572,141,297,55,86,86,6,6,Benign
742,8,180,10,23,23,1,2,Malicious
4507,67,265,21,6,6,0,0,Benign
7180,22,301,26,25,25,0,0,Benign
1180,10,259,10,9,9,1,2,Malicious
5444,32,298,12,138,138,0,0,Benign
33,9,258,26,25,25,0,0,Malicious
263,38,256,28,28,28,1,2,Malicious
5037,76,272,21,32,32,0,0,Benign
4294,85,286,22,7,7,0,0,Benign
3984,58,409,67,66,66,0,0,Benign
4698,38,298,12,11,11,0,0,Benign
3765,387,273,98,97,97,0,0,Benign
4861,34,291,42,17,17,0,0,Benign
1941,5,218,10,9,9,1,2,Malicious
2164,4,180,14,8,8,1,1,Malicious
5586,39,533,328,36,36,0,0,Benign
6894,278,305,700,154,154,0,0,Benign
6846,286,305,957,74,74,0,0,Benign
2316,20,180,7,9,9,1,2,Malicious
6066,80,396,534,34,34,0,0,Benign
6069,310,419,458,493,493,1,2,Benign
2420,6,180,1991,9,9,1,2,Malicious
8088,16,229,28,30,30,0,0,Benign
3370,8,180,11,25,25,1,1,Malicious
5856,43,339,72,140,140,0,0,Benign
2184,2,180,11,40,40,1,2,Malicious
2263,7,211,9,9,9,1,2,Malicious
2183,17,180,10,9,8,2,3,Malicious
6389,69,353,696,133,133,0,0,Benign
6496,5,345,18,14,14,0,0,Benign
6838,171,305,1025,144,144,0,0,Benign
2304,41,180,9,8,8,1,1,Malicious
3717,34,367,156,155,155,0,0,Benign
8048,30,278,55,30,30,0,0,Benign
2574,10,256,16,7,6,1,1,Malicious
472,11,258,31,15,15,2,3,Malicious
4844,88,283,42,11,11,0,0,Benign
3887,80,353,45,44,44,0,0,Benign
5601,43,229,74,39,39,0,0,Benign
7591,180,262,24,107,107,0,0,Benign
4382,46,320,35,32,32,0,0,Benign
6676,116,417,612,76,76,2,3,Benign
239,8,180,11,11,11,1,1,Malicious
2488,149,316,45,9,9,1,2,Malicious
2776,9,180,9,57,9,0,0,Malicious
1758,15,411,23,9,9,1,1,Malicious
4395,78,262,21,79,79,0,0,Benign
1056,94,180,9,10,10,1,1,Malicious
1755,30,256,16,95,95,4,5,Malicious
2879,12,180,77,9,9,1,1,Malicious
7126,147,304,77,74,74,0,0,Benign
2833,4,180,16,9,9,1,1,Malicious
6557,2,376,14,13,13,0,0,Benign
2260,14,224,20,9,9,2,1,Malicious
908,100,256,38,12,12,2,3,Malicious
1535,11,344,23,9,9,1,1,Malicious
3128,33,424,69,65,65,0,0,Malicious
748,3,250,15,15,15,1,2,Malicious
4975,95,283,29,11,11,0,0,Benign
518,8,180,11,10,10,1,2,Malicious
4336,94,262,21,6,6,0,0,Benign
3538,79,256,96,20,20,0,0,Malicious
4159,31,252,52,51,51,0,0,Benign
789,2,196,15,15,15,1,2,Malicious
1438,16,180,10,40,40,1,2,Malicious
5260,94,283,30,6,6,0,0,Benign
4852,78,262,21,35,35,0,0,Benign
1728,2,256,15,9,9,1,2,Malicious
4851,82,283,32,11,11,0,0,Benign
1888,15,258,10,8,8,1,1,Malicious
3039,244,343,21,9,9,1,1,Malicious
2199,17,263,10,9,9,1,2,Malicious
93,12,180,9,14,14,2,3,Malicious
3024,9,180,2,31,31,0,0,Malicious
4959,97,283,47,6,6,0,0,Benign
101,9,180,9,12,12,1,2,Malicious
3768,56,393,89,90,90,0,0,Benign
1061,16,248,10,10,10,1,2,Malicious
1261,154,180,6,9,9,1,1,Malicious
6511,1,364,7,6,6,0,0,Benign
2029,5,180,895,9,9,1,2,Malicious
7583,20,303,22,13,13,0,0,Benign
8181,32,332,18,9,9,1,1,Malicious
7648,101,273,216,24,24,0,0,Benign
4504,84,283,30,6,6,0,0,Benign
6974,266,358,185,152,152,0,0,Benign
1322,14,180,10,5,4,0,0,Malicious
2149,375,180,9,99,99,6,7,Malicious
8145,36,321,22,8,8,1,1,Malicious
349,3,180,10,10,10,1,1,Malicious
828,9,298,10,19,19,0,0,Malicious
4139,99,273,102,60,60,0,0,Benign
2543,8,180,10,9,9,1,1,Malicious
1883,15,180,10,4,4,1,1,Malicious
7762,30,284,60,77,77,0,0,Benign
4902,79,283,35,26,26,0,0,Benign
1017,1,180,111612,3,3,1,1,Malicious
2651,13,224,20,9,9,0,0,Malicious
7666,27,226,61,114,114,0,0,Benign
6566,3,356,12,11,11,0,0,Benign
8054,36,293,189,217,217,0,0,Benign
3862,42,334,40,39,39,0,0,Benign
533,1,180,111113,17,17,1,1,Malicious
940,14,224,20,27,27,5,6,Malicious
2406,10,382,18,8,8,1,1,Malicious
2094,9,180,70,9,9,1,2,Malicious
6875,146,344,151,80,80,0,0,Benign
2031,8,180,9,9,9,1,2,Malicious
1606,17,180,10,8,7,1,1,Malicious
2899,25,256,29,9,9,1,1,Malicious
2796,2,180,11,80,80,3,4,Malicious
6751,279,282,68,79,79,0,0,Benign
5810,319,361,167,419,419,0,0,Benign
811,15,180,10,21,20,1,2,Malicious
7646,113,273,257,61,61,0,0,Benign
4004,58,335,37,36,36,0,0,Benign
3753,35,370,62,60,60,0,0,Benign
315,14,224,20,13,13,2,3,Malicious
932,6,201,996,19,19,0,0,Malicious
5829,62,326,50,212,212,1,1,Benign
3739,49,359,69,67,67,0,0,Benign
233,10,180,70,10,10,1,2,Malicious
7622,24,298,12,22,22,0,0,Benign
712,8,180,11,17,17,1,2,Malicious
4362,82,262,21,6,6,0,0,Benign
858,15,224,20,17,17,1,1,Malicious
4224,52,314,244,53,53,0,0,Benign
3413,8,180,11,3,2,1,2,Malicious
3574,44,180,125,30,30,2,3,Malicious
6307,92,410,471,278,278,0,0,Benign
1897,15,483,23,9,9,1,1,Malicious
3439,48,287,40,19,19,0,0,Malicious
4896,86,283,26,54,54,0,0,Benign
2287,95,180,9,9,9,1,1,Malicious
7689,29,291,53,1139,1139,0,0,Benign
2132,8,232,18,9,9,2,3,Malicious
5925,71,413,245,53,53,0,0,Benign
7654,126,297,160,48,48,0,0,Benign
4024,57,385,47,46,46,0,0,Benign
6479,794,458,318,173,173,0,0,Benign
4428,68,262,21,11,11,0,0,Benign
5120,73,265,21,24,24,0,0,Benign
2874,0,351,5,9,9,1,1,Malicious
2210,2,180,111612,4,4,1,1,Malicious
6473,85,349,415,40,40,0,0,Benign
5018,86,265,21,11,11,0,0,Benign
3544,828,180,9,14,13,0,1,Malicious
7356,23,298,12,418,418,0,0,Benign
4217,33,319,22,21,21,0,0,Benign
6606,270,372,778,661,661,2,3,Benign
3165,433,311,30,10,10,1,1,Malicious
7682,11,300,22,49,49,0,0,Benign
2276,5,180,16,9,9,1,2,Malicious
4194,58,319,28,27,27,0,0,Benign
3355,89,180,77,15,15,0,0,Malicious
6618,230,486,78,371,371,1,2,Benign
4712,75,262,21,31,31,0,0,Benign
982,13,224,20,12,12,2,3,Malicious
676,2,226,10,19,19,0,0,Malicious
4071,79,373,55,54,54,0,0,Benign
5911,58,391,352,70,70,0,0,Benign
3184,38,256,28,26,25,1,2,Malicious
1979,80,275,50,9,9,1,2,Malicious
5678,78,398,629,71,71,0,0,Benign
4319,67,365,89,88,88,0,0,Benign
487,8,224,10,10,10,1,2,Malicious
7351,23,298,12,138,138,0,0,Benign
6779,157,283,61,11,11,0,0,Benign
2647,31,294,22,9,9,2,3,Malicious
6610,118,356,948,231,231,2,3,Benign
6147,91,375,763,74,74,0,0,Benign
856,5,180,18,21,21,5,6,Malicious
465,15,180,10,15,15,2,3,Malicious
496,15,180,10,12,12,2,3,Malicious
5551,72,226,312,113,113,0,0,Benign
3405,81,180,9,19,19,0,0,Malicious
65,2,180,111612,15,15,1,2,Malicious
763,8,180,16,10,10,1,1,Malicious
3125,33,681,67,76,76,0,0,Malicious
2372,30,328,24,8,8,1,1,Malicious
4590,79,283,32,115,115,1,0,Benign
5076,79,262,21,46,46,0,0,Benign
2453,60,288,10,8,8,1,1,Malicious
4593,79,283,32,32,32,0,0,Benign
4885,90,285,139,11,11,0,0,Benign
3910,54,398,306,81,81,0,0,Benign
1242,3,180,8,8,8,1,1,Malicious
1402,1,180,111612,9,9,1,2,Malicious
7111,20,196,36,35,35,0,0,Benign
2133,9,180,70,9,9,1,2,Malicious
4339,81,272,21,6,6,0,0,Benign
2470,8,180,11,9,9,2,3,Malicious
23,6,211,18,12,12,2,3,Malicious
730,2,222,15,14,14,2,3,Malicious
8087,15,252,34,44,44,0,0,Benign
1595,19,256,22,8,8,1,1,Malicious
4453,73,262,21,11,11,0,0,Benign
5841,85,349,218,117,117,0,0,Benign
1915,1083,204,61,9,9,1,1,Malicious
1429,2,180,10,9,9,1,2,Malicious
319,193,180,9,19,19,0,0,Malicious
2223,11,180,77,9,9,1,1,Malicious
5060,79,262,21,24,24,0,0,Benign
743,94,180,9,14,14,2,3,Malicious
6656,134,370,784,252,252,2,3,Benign
3392,73,376,35,13,13,0,0,Malicious
7121,178,304,67,66,66,0,0,Benign
2441,405,180,7,8,8,1,1,Malicious
3820,36,382,189,70,70,0,0,Benign
8103,397,273,92,33,33,0,0,Benign
1978,43,335,17,9,9,1,2,Malicious
5067,77,273,59,12,12,0,0,Benign
1053,6,254,10,19,19,0,0,Malicious
7792,37,288,551,52,52,0,0,Benign
5614,74,276,64,17,17,0,0,Benign
1650,14,224,20,6,6,1,1,Malicious
457,1,180,111113,16,16,1,2,Malicious
7106,107,283,37,36,36,0,0,Benign
7592,24,260,12,20,20,0,0,Benign
4477,78,283,25,6,6,0,0,Benign
2484,2,180,9,9,9,1,2,Malicious
4235,45,229,55,54,54,0,0,Benign
7990,50,229,110,49,49,0,0,Benign
7497,26,260,12,6,6,0,0,Benign
4842,83,283,34,6,6,0,0,Benign
4210,69,319,43,42,42,0,0,Benign
7006,213,271,164,26,26,0,0,Benign
5741,89,339,1129,35,35,0,0,Benign
5557,75,226,314,168,168,0,0,Benign
1084,95,180,9,13,13,2,3,Malicious
2166,8,180,11,9,9,1,1,Malicious
5766,67,352,594,328,328,1,1,Benign
682,57,256,41,15,15,1,2,Malicious
3003,6,201,996,9,9,1,1,Malicious
132,2,180,111614,19,19,0,0,Malicious
1739,15,224,20,5,5,1,1,Malicious
3213,4,504,14,19,19,0,0,Malicious
503,7,180,17,11,11,3,4,Malicious
3434,65,262,62,0,1,0,0,Malicious
1374,15,224,20,4,4,1,1,Malicious
1934,7,239,10,9,9,1,2,Malicious
696,17,242,10,21,21,5,6,Malicious
3728,45,285,73,69,69,0,0,Benign
1203,14,224,20,9,9,2,1,Malicious
4169,68,338,91,90,90,0,0,Benign
5597,39,318,253,204,204,0,0,Benign
5771,79,367,369,194,194,0,0,Benign
5184,75,283,25,11,11,0,0,Benign
7226,196,283,154,153,153,0,0,Benign
1005,7,180,11,28,28,1,2,Malicious
6580,151,353,1071,84,84,2,3,Benign
736,1,180,111113,12,12,2,3,Malicious
6657,128,446,352,148,148,8,9,Benign
2802,8,180,10,59,59,0,0,Malicious
6165,75,347,380,77,77,0,0,Benign
970,79,256,96,12,13,3,4,Malicious
3751,73,376,84,82,82,0,0,Benign
4680,70,272,21,29,29,0,0,Benign
7773,45,288,193,52,52,0,0,Benign
5027,97,262,21,43,43,0,0,Benign
1670,2048,201,996,9,9,1,1,Malicious
625,3,250,15,19,19,0,0,Malicious
2722,15,224,20,9,9,0,0,Malicious
37,16,180,10,10,10,1,1,Malicious
2760,46,180,15,8,8,1,1,Malicious
4288,97,283,35,34,34,0,0,Benign
4708,86,283,30,11,11,0,0,Benign
2795,1,180,111714,9,9,1,2,Malicious
5612,66,276,84,122,122,0,0,Benign
3872,64,352,22,21,21,0,0,Benign
2338,46,180,11,8,8,1,1,Malicious
1330,12,180,9,35,35,1,1,Malicious
5958,49,356,233,84,84,0,0,Benign
7708,253,247,269,195,195,0,0,Benign
5371,84,262,21,28,28,0,0,Benign
5389,84,283,33,30,30,0,0,Benign
5620,49,291,109,25,25,0,0,Benign
95,2,180,10,10,10,1,2,Malicious
6687,267,342,307,1812,1812,0,0,Benign
6394,65,363,105,197,197,0,0,Benign
8025,19,229,46,50,50,0,0,Benign
6450,56,373,68,105,105,0,0,Benign
6752,142,282,44,67,67,0,0,Benign
6848,240,305,966,110,110,0,0,Benign
5816,59,338,1163,687,687,404,404,Benign
5952,79,373,320,45,45,0,0,Benign
2127,5,247,16,9,9,1,2,Malicious
2517,9,180,9,39,39,0,0,Malicious
1313,15,224,20,9,9,1,2,Malicious
1643,17,248,10,9,9,1,1,Malicious
1586,14,224,20,7,7,1,1,Malicious
5669,96,360,913,110,110,0,0,Benign
7492,29,298,12,227,227,0,0,Benign
1558,18,240,31,8,8,1,1,Malicious
251,2,180,111612,10,10,1,1,Malicious
5157,85,272,21,32,32,0,0,Benign
334,14,224,20,17,17,2,3,Malicious
2997,41,278,23,4,4,1,1,Malicious
2910,8,180,10,36,36,0,0,Malicious
4999,32,298,12,26,26,0,0,Benign
7078,199,286,375,374,374,0,0,Benign
6707,124,192,16,19,19,0,0,Benign
4529,39,298,100,176,176,0,0,Benign
5559,82,226,343,181,181,0,0,Benign
8080,19,229,39,35,35,0,0,Benign
3660,13,480,23,10,9,2,3,Malicious
4773,63,298,22,6,6,0,0,Benign
7530,15,260,12,279,279,0,0,Benign
7323,117,283,37,26,26,0,0,Benign
1665,2,180,7,9,9,1,1,Malicious
2510,243,347,21,4,4,1,1,Malicious
6416,90,325,610,84,84,0,0,Benign
7975,52,229,119,77,77,0,0,Benign
7626,151,265,24,9,9,0,0,Benign
3065,8,180,9,8,8,1,1,Malicious
1412,189,266,68,9,9,1,2,Malicious
7148,187,304,81,79,79,0,0,Benign
5940,95,357,747,55,55,0,0,Benign
6574,160,354,1961,598,598,2,3,Benign
157,5,201,79,19,19,0,0,Malicious
1025,38,180,11,26,25,1,2,Malicious
5404,96,283,45,6,6,0,0,Benign
6062,71,384,261,76,76,0,0,Benign
4825,81,283,31,30,30,0,0,Benign
4932,82,283,25,37,37,0,0,Benign
4763,78,272,21,171,171,0,0,Benign
1793,2,180,11,8,8,1,1,Malicious
429,306,180,9,19,19,0,0,Malicious
2697,9,180,9,33,33,0,0,Malicious
1533,2,196,15,9,9,1,2,Malicious
453,7,201,996,12,12,1,2,Malicious
4392,88,484,78,6,6,0,0,Benign
554,7,180,10,13,13,2,3,Malicious
2868,9,180,9,31,31,0,0,Malicious
5155,87,272,21,26,26,0,0,Benign
7297,114,265,24,57,57,0,0,Benign
5471,49,324,300,63,63,0,0,Benign
6178,75,395,238,131,131,0,0,Benign
3064,8,246,19,8,8,1,1,Malicious
2937,9,180,18,8,8,1,1,Malicious
1807,17,180,10,46,46,2,4,Malicious
3467,58,330,25,10,10,1,1,Malicious
4515,37,290,49,23,23,0,0,Benign
2492,6,256,19,9,9,1,1,Malicious
1701,15,180,10,7,6,1,1,Malicious
7867,59,229,96,52,52,0,0,Benign
2650,120,290,45,8,8,1,1,Malicious
2457,2,180,14,48,48,1,2,Malicious
6063,43,462,212,92,92,0,0,Benign
7044,162,267,158,157,157,0,0,Benign
1965,7,201,996,9,9,1,2,Malicious
994,6,218,10,15,15,1,2,Malicious
5220,97,283,26,28,28,0,0,Benign
6897,189,345,143,120,120,0,0,Benign
4960,94,283,31,46,46,0,0,Benign
6924,330,333,1009,285,285,1,0,Benign
353,8,254,10,12,12,1,2,Malicious
6433,65,422,230,34,34,0,0,Benign
6631,106,360,528,429,429,2,3,Benign
5888,94,387,586,108,108,0,0,Benign
3268,8,180,11,11,11,1,2,Malicious
5303,79,262,21,39,39,0,0,Benign
1839,1,180,111113,6,6,1,1,Malicious
7619,26,298,12,28,28,0,0,Benign
4371,77,272,21,6,6,0,0,Benign
2412,3,250,15,9,9,2,3,Malicious
8126,25,314,242,1033,1033,0,0,Benign
3410,9,180,9,17,17,0,0,Malicious
6772,262,329,65,6,6,0,0,Benign
1244,17,180,10,7,6,1,1,Malicious
3332,42,180,11,19,19,0,0,Malicious
4772,71,262,21,27,27,0,0,Benign
7310,20,298,12,11,11,0,0,Benign
4564,69,262,21,110,110,0,0,Benign
6522,1,351,8,7,7,0,0,Benign
6430,48,594,246,41,41,0,0,Benign
2614,18,180,10,9,9,2,3,Malicious
4091,58,335,47,46,46,0,0,Benign
5196,87,283,28,37,37,0,0,Benign
3185,77,77185,5,24,24,1,2,Malicious
1426,11,180,9,9,9,1,2,Malicious
3455,9,180,70,3,3,1,2,Malicious
4534,85,283,32,33,33,0,0,Benign
1345,2,248,15,8,8,1,1,Malicious
2770,9,180,9,7,7,0,0,Malicious
7880,104,288,2666,47,47,0,0,Benign
5422,76,283,27,34,34,0,0,Benign
5890,92,333,991,662,662,0,0,Benign
2540,46,180,15,9,9,1,1,Malicious
7687,176,304,88,51,51,0,0,Benign
6928,397,351,405,993,993,0,0,Benign
4868,90,283,34,11,11,0,0,Benign
1880,103,315,24,8,8,1,1,Malicious
1034,24,347,21,19,19,0,0,Malicious
7278,21,299,19,24,24,0,0,Benign
6667,167,377,2209,503,503,44,44,Benign
5354,75,272,21,136,136,0,0,Benign
2918,15,224,20,8,7,1,1,Malicious
7203,25,298,12,11,11,0,0,Benign
1617,1,180,111612,9,9,1,2,Malicious
3855,48,307,66,33,33,0,0,Benign
5417,92,283,29,134,134,0,0,Benign
1420,15,257,16,8,8,1,1,Malicious
5412,85,283,23,6,6,0,0,Benign
1407,17,261,10,8,8,1,1,Malicious
1945,8,180,10,9,9,1,2,Malicious
1662,14,256,16,8,8,1,1,Malicious
8042,11,289,27,27,27,0,0,Benign
5001,94,283,35,11,11,0,0,Benign
2577,56,256,69,4,4,1,1,Malicious
5860,41,340,111,44,44,0,0,Benign
1087,9,180,9,21,21,1,2,Malicious
4782,90,283,29,33,33,0,0,Benign
3803,68,314,86,47,47,0,0,Benign
2699,14,224,20,39,39,0,0,Malicious
483,2,180,111612,14,14,2,3,Malicious
6395,76,390,455,112,112,2,3,Benign
6730,111,283,46,45,45,0,0,Benign
5380,77,262,21,314,314,0,0,Benign
7281,24,298,13,25,25,0,0,Benign
2576,207,305,22,9,9,1,1,Malicious
6754,118,282,45,43,43,0,0,Benign
3836,55,326,49,48,48,0,0,Benign
7713,122,250,198,230,230,0,0,Benign
3886,32,447,55,54,54,0,0,Benign
2884,243,347,21,9,9,1,2,Malicious
5572,72,226,576,110,110,0,0,Benign
7096,192,304,114,100,100,0,0,Benign
5025,32,298,12,16,16,0,0,Benign
1044,8,180,11,17,17,2,3,Malicious
48,15,224,20,10,10,1,1,Malicious
5641,76,517,1097,47,47,0,0,Benign
2388,174,267,102,9,9,1,1,Malicious
5300,84,265,21,29,29,0,0,Benign
3464,7,201,996,12,12,1,2,Malicious
1840,16,301,10,9,9,1,2,Malicious
2471,4,247,16,6,6,0,0,Malicious
1844,3,271,15,9,9,1,2,Malicious
5845,409,398,610,292,292,0,0,Benign
5970,86,374,476,122,122,0,0,Benign
7260,16,283,10,6,6,0,0,Benign
393,14,224,20,10,10,1,2,Malicious
3543,8,180,11,25,25,0,0,Malicious
230,7,180,11,15,15,1,2,Malicious
3094,7,180,12,7,6,1,1,Malicious
5491,73,226,565,40,40,0,0,Benign
6608,104,355,926,47,47,2,3,Benign
7691,271,282,105,79,79,0,0,Benign
1995,7,180,10,7,7,2,3,Malicious
6510,5,350,29,28,28,0,0,Benign
6936,313,333,322,546,546,0,0,Benign
2036,5,246,16,9,9,2,3,Malicious
7993,123,229,260,80,80,0,0,Benign
6859,168,226,36,67,67,0,0,Benign
5400,92,283,33,6,6,0,0,Benign
3653,15,363,25,14,14,2,3,Malicious
1046,51,330,27,15,15,1,2,Malicious
61,7,180,10,10,10,1,1,Malicious
7883,115,254,56,67,67,0,0,Benign
957,969,292,79,10,10,1,1,Malicious
7262,25,260,12,12,12,0,0,Benign
5955,70,373,307,118,118,0,0,Benign
6217,56,381,238,39,39,0,0,Benign
332,31,255,10,19,19,0,0,Malicious
6214,85,382,39,313,313,1,2,Benign
2478,1,180,6,9,9,1,1,Malicious
